transaction_id,customer_id,merchant_id,timestamp,amount,currency,payment_method,transaction_type,merchant_category,device_type,operating_system,browser,IP_country,geo_latitude,geo_longitude,distance_from_home,login_duration,transaction_hour,day_of_week,weekend,international,failed_login_attempts,previous_transactions_24h,average_spending_30d,spending_change,merchant_risk,customer_risk,fraud_probability,is_fraud
T00000032,C000799,M00001,2025-07-12 06:12:00,30226.45,INR,UPI,Transfer,Entertainment,Mobile,Windows,Firefox,USA,61.865513,14.904467,495.41,401,6,Saturday,Yes,Yes,2,27,14830.75,31.24,0.46,High,0.14,0
T00000033,C000307,M00123,2025-09-20 01:20:00,41361.52,INR,Credit Card,Purchase,Retail,Mobile,macOS,Firefox,Germany,-34.798784,-18.153002,144.97,364,1,Saturday,Yes,No,2,14,7917.97,50.01,0.46,Low,0.29,0
T00000034,C000520,M00087,2025-10-10 02:19:00,26843.63,INR,Credit Card,Purchase,Food,Mobile,Windows,Firefox,Canada,64.488868,86.991477,5.7,449,2,Friday,No,No,5,18,36581.24,-38.14,0.87,High,0.08,0
T00000035,C000954,M00105,2025-10-24 21:29:00,78180.96,INR,Wallet,Purchase,Food,Desktop,macOS,Firefox,Germany,17.30581,-11.380543,378.43,215,21,Friday,No,No,1,12,11529.65,27.74,0.18,High,0.21,0
T00000036,C000057,M00113,2025-11-20 08:08:00,75931.35,INR,UPI,Purchase,Grocery,POS,macOS,Edge,USA,28.923998,-168.306472,269.82,176,8,Thursday,No,No,1,5,11975.5,77.41,0.78,Low,0.31,0
T00000037,C000236,M00065,2025-04-15 04:48:00,27999.5,INR,Credit Card,Refund,Entertainment,POS,Android,Firefox,Canada,87.283921,-86.907585,113.28,7,4,Tuesday,No,No,4,11,32891.11,-36.13,0.44,Medium,0.24,0
T00000038,C000093,M00035,2025-08-24 06:54:00,50589.77,INR,Debit Card,Refund,Healthcare,Mobile,Android,Firefox,UK,-44.314487,138.88125,277.84,299,6,Sunday,Yes,No,2,7,5778.37,141.22,0.63,High,0.24,0
T00000039,C000987,M00080,2025-01-08 03:22:00,90452.38,INR,Credit Card,Refund,Grocery,Desktop,macOS,Safari,USA,-24.270566,108.25718,239.84,439,3,Wednesday,No,No,4,12,1856.94,-38.5,0.23,High,0.14,0
T00000040,C000077,M00124,2025-04-05 16:59:00,3427.92,INR,Credit Card,Transfer,Healthcare,Desktop,macOS,Firefox,USA,81.255694,99.246906,330.92,557,16,Saturday,Yes,No,4,16,38948.44,-43.32,0.89,Medium,0.1,0
T00000041,C000258,M00041,2025-05-28 19:22:00,80558.52,INR,UPI,Refund,Grocery,POS,Android,Firefox,Canada,-19.385669,-71.849859,213.56,245,19,Wednesday,No,Yes,1,17,28057.04,-78.48,0.0,Medium,0.28,0
T00000042,C000500,M00080,2025-02-27 05:18:00,33854.15,INR,Credit Card,Purchase,Retail,Mobile,iOS,Chrome,India,40.16853,-3.924586,148.78,283,5,Thursday,No,Yes,3,8,26726.45,62.49,0.66,High,0.07,0
T00000043,C000416,M00107,2025-02-19 15:01:00,13169.49,INR,Wallet,Refund,Healthcare,POS,Android,Chrome,UK,-59.198888,65.14054,285.58,263,15,Wednesday,No,No,1,26,3014.64,119.58,0.4,Medium,0.36,0
T00000044,C000753,M00139,2026-01-25 06:00:00,93201.12,INR,Debit Card,Purchase,Retail,POS,Windows,Firefox,USA,72.375635,67.966014,108.08,552,6,Sunday,Yes,Yes,3,1,39883.24,118.82,0.34,High,0.14,0
T00000045,C000078,M00069,2025-04-22 19:06:00,74155.25,INR,UPI,Transfer,Healthcare,Mobile,macOS,Chrome,India,-24.303135,80.052076,282.75,513,19,Tuesday,No,No,5,4,1871.59,-50.3,0.07,Low,0.16,0
T00000046,C000563,M00186,2025-02-03 15:45:00,72089.84,INR,Debit Card,Purchase,Grocery,POS,iOS,Firefox,India,59.641328,27.12568,425.5,493,15,Monday,No,No,4,5,29872.8,-56.28,0.54,High,0.22,0
T00000047,C000080,M00110,2025-09-28 20:22:00,84233.36,INR,Wallet,Purchase,Electronics,POS,iOS,Chrome,Germany,-29.835566,157.075255,151.35,118,20,Sunday,Yes,No,1,9,28283.78,27.58,0.24,Medium,0.32,0
T00000048,C000082,M00133,2025-04-26 09:08:00,92568.36,INR,Debit Card,Transfer,Retail,Mobile,Windows,Firefox,Germany,-47.585801,152.641537,217.12,477,9,Saturday,Yes,No,1,28,37699.06,-11.67,0.64,Low,0.14,0
T00000049,C000638,M00119,2026-04-04 12:11:00,51894.01,INR,Debit Card,Transfer,Entertainment,Desktop,Windows,Firefox,India,-29.239479,-33.803782,355.5,319,12,Saturday,Yes,Yes,4,27,33979.27,-70.11,0.16,High,0.34,0
T00000050,C000951,M00137,2025-02-04 03:12:00,64730.93,INR,UPI,Purchase,Electronics,Desktop,macOS,Chrome,India,39.779098,24.344695,4.74,72,3,Tuesday,No,No,5,11,24405.0,29.91,0.13,Low,0.09,0
T00000051,C000711,M00036,2025-10-23 06:55:00,12597.82,INR,UPI,Transfer,Grocery,Mobile,iOS,Firefox,Canada,-48.432801,34.355798,42.26,279,6,Thursday,No,Yes,0,21,16938.34,27.36,0.11,High,0.31,0
T00000052,C000187,M00102,2025-03-24 18:09:00,31080.8,INR,Credit Card,Refund,Travel,Desktop,macOS,Chrome,India,24.144194,7.813209,62.94,233,18,Monday,No,Yes,2,19,26610.66,89.5,0.45,Medium,0.07,0
T00000053,C000249,M00195,2025-04-30 02:50:00,64741.6,INR,UPI,Transfer,Travel,POS,macOS,Firefox,Germany,53.505066,-150.328808,176.46,25,2,Wednesday,No,Yes,1,13,38572.83,-42.39,0.3,High,0.22,0
T00000054,C000737,M00052,2025-06-22 01:15:00,14333.52,INR,Credit Card,Transfer,Retail,POS,Android,Firefox,UK,61.636837,-33.631476,432.33,324,1,Sunday,Yes,No,1,14,25410.29,-22.63,0.74,Medium,0.0,0
T00000055,C000732,M00073,2025-08-20 15:10:00,17611.85,INR,Debit Card,Purchase,Travel,POS,macOS,Edge,India,42.247325,-20.565132,181.84,279,15,Wednesday,No,Yes,4,6,15635.96,-26.82,0.57,High,0.38,0
T00000056,C000758,M00200,2025-01-14 23:58:00,67190.16,INR,Debit Card,Transfer,Electronics,Mobile,macOS,Edge,UK,-7.798752,-90.67681,399.07,528,23,Tuesday,No,Yes,1,7,1474.84,30.72,0.28,Low,0.34,0
T00000057,C000052,M00047,2026-04-04 01:49:00,98576.17,INR,Wallet,Refund,Retail,Mobile,iOS,Safari,Germany,78.012837,-172.210032,285.03,388,1,Saturday,Yes,Yes,5,26,23202.5,-67.36,0.23,Low,0.27,0
T00000058,C000129,M00064,2025-08-25 01:44:00,82151.72,INR,UPI,Purchase,Entertainment,Mobile,macOS,Chrome,UK,80.497783,-63.264174,429.6,60,1,Monday,No,No,5,22,3090.2,-45.07,0.9,High,0.16,0
T00000059,C000073,M00021,2025-08-06 20:05:00,59377.19,INR,Debit Card,Refund,Entertainment,Desktop,Android,Edge,UK,-48.13736,108.282379,17.8,502,20,Wednesday,No,Yes,4,2,42301.79,109.13,0.73,Medium,0.16,0
T00000060,C000747,M00177,2025-01-16 12:37:00,31012.94,INR,UPI,Purchase,Food,POS,macOS,Chrome,UK,34.561174,128.995743,157.03,513,12,Thursday,No,Yes,3,13,39978.32,-40.05,0.51,High,0.3,0
T00000061,C000018,M00111,2025-04-06 17:26:00,12041.26,INR,Wallet,Purchase,Entertainment,Mobile,Windows,Firefox,USA,-33.130308,-176.667071,389.55,474,17,Sunday,Yes,No,0,10,2556.01,-44.62,0.31,High,0.16,0
T00000062,C000684,M00167,2026-04-26 06:07:00,42008.49,INR,Wallet,Refund,Retail,Desktop,iOS,Edge,Germany,-85.683836,155.977762,21.02,43,6,Sunday,Yes,Yes,0,2,45864.8,96.02,0.42,Low,0.32,0
T00000063,C000498,M00132,2025-02-06 10:46:00,52449.26,INR,Credit Card,Transfer,Food,Mobile,Android,Safari,Germany,28.159853,-41.085456,121.54,540,10,Thursday,No,Yes,3,30,25658.68,82.78,0.73,Low,0.24,0
T00000064,C000431,M00153,2026-01-20 01:43:00,4584.14,INR,UPI,Transfer,Retail,POS,macOS,Safari,Germany,46.574173,13.069017,80.16,495,1,Tuesday,No,Yes,4,1,1095.56,138.33,0.71,Low,0.14,0
T00000065,C000115,M00173,2025-01-02 07:03:00,66879.76,INR,UPI,Refund,Grocery,POS,iOS,Firefox,USA,-26.693118,-78.22157,233.06,233,7,Thursday,No,Yes,4,7,2960.99,12.08,0.44,High,0.39,0
T00000066,C000381,M00027,2026-03-12 18:03:00,64157.91,INR,UPI,Refund,Food,POS,iOS,Firefox,Germany,70.505776,-86.32357,240.4,582,18,Thursday,No,Yes,3,12,26579.33,86.34,0.45,Low,0.4,0
T00000067,C000104,M00022,2026-02-13 15:26:00,42504.41,INR,UPI,Refund,Retail,Desktop,Windows,Firefox,USA,89.444244,-90.380233,375.25,520,15,Friday,No,Yes,5,20,22225.33,55.37,0.15,High,0.2,0
T00000068,C000985,M00089,2025-01-24 13:44:00,42857.94,INR,Debit Card,Purchase,Entertainment,Desktop,macOS,Firefox,USA,-86.682866,-107.977366,189.26,575,13,Friday,No,No,0,18,39246.85,113.12,0.11,Medium,0.21,0
T00000069,C000873,M00027,2026-02-03 16:21:00,14366.3,INR,Credit Card,Purchase,Electronics,Desktop,Windows,Safari,India,28.473156,178.843553,147.89,37,16,Tuesday,No,Yes,5,18,29514.38,46.63,0.21,Medium,0.06,0
T00000070,C000523,M00123,2025-10-20 08:02:00,13519.11,INR,Wallet,Purchase,Travel,Mobile,Android,Edge,UK,-45.228485,-100.88676,335.63,33,8,Monday,No,Yes,4,2,14906.96,-8.04,0.62,High,0.09,0
T00000071,C000998,M00183,2025-06-14 14:04:00,27805.19,INR,Wallet,Transfer,Food,POS,macOS,Safari,UK,-15.603786,-40.505063,255.99,513,14,Saturday,Yes,Yes,2,3,26332.51,103.64,0.16,Medium,0.2,0
T00000072,C000414,M00015,2025-04-24 00:22:00,427.72,INR,Debit Card,Purchase,Retail,Mobile,iOS,Safari,India,-22.989542,87.680904,225.8,109,0,Thursday,No,Yes,2,2,33135.11,39.29,0.74,Medium,0.13,0
T00000073,C000170,M00198,2025-03-16 11:37:00,86207.11,INR,Credit Card,Refund,Retail,Desktop,macOS,Firefox,India,37.734819,108.373717,424.9,227,11,Sunday,Yes,Yes,3,16,27889.6,97.4,0.49,High,0.34,0
T00000074,C000199,M00107,2025-01-25 11:59:00,8298.93,INR,Debit Card,Refund,Travel,POS,Windows,Safari,UK,-35.472425,-174.667261,80.04,270,11,Saturday,Yes,Yes,2,17,27438.88,10.36,0.72,Low,0.15,0
T00000075,C000376,M00011,2025-12-03 01:06:00,22644.11,INR,Credit Card,Purchase,Food,Mobile,iOS,Firefox,Germany,23.633721,112.382394,460.04,129,1,Wednesday,No,Yes,5,18,20733.83,8.14,0.02,Medium,0.03,0
T00000076,C000763,M00032,2025-03-09 08:48:00,83083.62,INR,Debit Card,Transfer,Electronics,Desktop,iOS,Safari,Germany,-16.342748,18.796161,388.53,301,8,Sunday,Yes,Yes,0,7,13460.76,-15.39,0.2,Low,0.23,0
T00000077,C000876,M00144,2026-01-11 11:57:00,63352.47,INR,UPI,Purchase,Electronics,Mobile,iOS,Edge,UK,24.512559,-19.82366,293.62,7,11,Sunday,Yes,No,2,14,2408.34,3.07,0.0,High,0.38,0
T00000078,C000925,M00099,2025-07-20 04:03:00,45329.0,INR,UPI,Transfer,Entertainment,POS,macOS,Edge,India,-86.07943,-142.356073,404.66,367,4,Sunday,Yes,No,2,10,23953.16,137.66,0.15,Medium,0.32,0
T00000079,C000810,M00014,2026-04-27 14:40:00,45504.84,INR,UPI,Purchase,Grocery,Mobile,macOS,Safari,UK,21.282639,29.024802,460.55,542,14,Monday,No,No,0,19,47157.13,-23.21,0.11,Low,0.24,0
T00000080,C000296,M00023,2025-10-14 07:23:00,18590.35,INR,Wallet,Refund,Retail,Mobile,macOS,Chrome,USA,-59.790657,93.267914,225.46,244,7,Tuesday,No,Yes,5,20,28047.8,-0.03,0.93,Medium,0.4,0
T00000081,C000084,M00007,2025-06-25 19:23:00,99645.11,INR,Wallet,Transfer,Electronics,Desktop,macOS,Chrome,USA,-32.018551,-37.38067,194.25,300,19,Wednesday,No,Yes,0,8,22320.21,138.63,0.4,High,0.33,0
T00000082,C000651,M00163,2025-08-07 16:21:00,58391.98,INR,UPI,Transfer,Electronics,POS,Android,Firefox,India,71.672958,-91.275706,404.06,30,16,Thursday,No,Yes,3,25,23692.5,93.3,0.44,Low,0.15,0
T00000083,C000318,M00153,2026-04-22 02:43:00,19735.1,INR,Debit Card,Purchase,Travel,POS,Android,Chrome,India,-10.377045,26.54439,379.44,58,2,Wednesday,No,Yes,2,19,1669.49,132.04,0.27,Medium,0.23,0
T00000084,C000343,M00152,2025-03-04 17:14:00,42293.18,INR,UPI,Purchase,Grocery,Mobile,Windows,Firefox,UK,-22.675391,-121.766908,283.77,116,17,Tuesday,No,No,5,0,41017.9,87.19,0.36,Low,0.32,0
T00000085,C000600,M00150,2025-02-10 08:12:00,18019.43,INR,Wallet,Refund,Grocery,POS,macOS,Chrome,Canada,-4.027945,119.32982,117.68,470,8,Monday,No,Yes,4,27,15520.21,18.34,0.91,Medium,0.28,0
T00000086,C000952,M00051,2026-01-04 20:53:00,79280.06,INR,UPI,Transfer,Travel,Desktop,iOS,Edge,Germany,28.593553,-40.312696,226.62,99,20,Sunday,Yes,No,5,2,49556.13,140.56,0.27,Low,0.29,0
T00000087,C000624,M00100,2025-04-01 13:29:00,44037.44,INR,Credit Card,Refund,Retail,Desktop,Windows,Chrome,Germany,67.08845,116.91235,231.25,133,13,Tuesday,No,Yes,5,3,19734.77,-2.03,0.39,High,0.19,0
T00000088,C000380,M00193,2026-02-10 19:23:00,26304.72,INR,UPI,Refund,Grocery,POS,macOS,Chrome,India,78.960872,58.543796,314.2,340,19,Tuesday,No,No,3,0,42424.27,-26.92,0.72,Medium,0.37,0
T00000089,C000102,M00186,2026-04-27 15:00:00,54105.23,INR,Wallet,Refund,Healthcare,POS,iOS,Safari,UK,-67.294227,120.150357,324.22,342,15,Monday,No,Yes,4,29,9094.91,146.53,0.01,High,0.28,0
T00000090,C000114,M00171,2025-02-28 09:40:00,77074.09,INR,Credit Card,Purchase,Entertainment,Desktop,macOS,Chrome,Germany,-77.325625,30.751136,96.26,269,9,Friday,No,No,5,19,31526.57,-61.16,0.95,Low,0.32,0
T00000091,C000525,M00036,2025-01-01 21:05:00,65518.3,INR,Debit Card,Transfer,Entertainment,Desktop,macOS,Chrome,Canada,63.485532,-7.894328,98.32,228,21,Wednesday,No,Yes,0,8,33432.87,41.72,0.49,Medium,0.3,0
T00000092,C000877,M00093,2026-04-03 08:47:00,96943.02,INR,Wallet,Purchase,Food,Mobile,iOS,Chrome,Canada,8.451061,136.363123,10.5,223,8,Friday,No,Yes,4,23,49210.44,109.05,0.12,Medium,0.4,0
T00000093,C000736,M00058,2025-02-15 23:17:00,82848.71,INR,Debit Card,Purchase,Travel,Desktop,Android,Firefox,Canada,-47.02755,2.427459,158.43,72,23,Saturday,Yes,No,3,13,14058.8,112.42,0.15,High,0.25,0
T00000094,C000234,M00169,2026-05-01 06:37:00,17976.69,INR,UPI,Purchase,Entertainment,POS,iOS,Firefox,Germany,74.071678,-117.070244,444.03,251,6,Friday,No,No,4,8,30448.16,63.66,0.32,Low,0.23,0
T00000095,C000425,M00195,2025-05-16 19:19:00,25733.73,INR,UPI,Transfer,Food,Desktop,iOS,Firefox,Canada,-11.698872,-139.332377,486.0,123,19,Friday,No,Yes,2,25,48569.12,-29.22,0.43,Low,0.36,0
T00000096,C000576,M00128,2026-03-17 13:08:00,47895.49,INR,UPI,Refund,Healthcare,Desktop,Android,Firefox,USA,50.399774,11.032793,464.54,58,13,Tuesday,No,Yes,2,18,5349.46,-45.05,0.71,Medium,0.01,0
T00000097,C000120,M00106,2025-10-12 02:46:00,17865.97,INR,Wallet,Refund,Healthcare,Mobile,iOS,Edge,USA,-31.679841,-73.095581,267.59,11,2,Sunday,Yes,Yes,4,10,17562.68,62.42,0.57,Medium,0.19,0
T00000098,C000994,M00147,2025-12-08 02:00:00,19564.58,INR,UPI,Refund,Entertainment,POS,Windows,Safari,India,11.578506,51.659549,73.02,467,2,Monday,No,No,5,2,4137.78,30.28,0.22,Medium,0.29,0
T00000099,C000436,M00038,2025-11-29 02:02:00,96130.46,INR,Wallet,Transfer,Travel,Desktop,Android,Chrome,USA,-24.341783,20.019955,365.14,169,2,Saturday,Yes,Yes,1,0,39925.89,44.9,0.36,Low,0.88,1
T00000100,C000150,M00148,2025-01-24 08:31:00,96401.09,INR,UPI,Transfer,Food,Mobile,macOS,Edge,USA,53.886784,-165.846458,235.85,539,8,Friday,No,Yes,0,5,32015.5,-27.21,0.43,Medium,0.2,0
T00000101,C000003,M00121,2025-07-31 14:44:00,13382.09,INR,Credit Card,Transfer,Travel,Mobile,Windows,Edge,Canada,-5.407148,118.657595,34.68,169,14,Thursday,No,No,4,22,21779.16,124.25,0.63,Medium,0.06,0
T00000102,C000336,M00091,2025-02-18 05:19:00,33208.37,INR,Credit Card,Purchase,Electronics,Mobile,Android,Chrome,Canada,-35.356575,13.595819,127.97,136,5,Tuesday,No,Yes,3,28,9059.45,78.72,0.01,Medium,0.29,0
T00000103,C000247,M00083,2025-01-08 19:36:00,3838.25,INR,Debit Card,Purchase,Healthcare,Mobile,Windows,Edge,UK,-54.451551,-15.517211,403.44,593,19,Wednesday,No,Yes,3,24,28869.81,115.37,0.56,High,0.05,0
T00000104,C000227,M00032,2025-03-23 10:50:00,42208.47,INR,Wallet,Transfer,Travel,POS,macOS,Safari,India,-45.228737,128.9261,127.12,290,10,Sunday,Yes,No,0,30,1433.56,-57.09,0.39,High,0.28,0
T00000105,C000295,M00075,2025-12-05 02:21:00,78880.01,INR,UPI,Transfer,Retail,Mobile,Windows,Chrome,Germany,-16.700978,-128.627539,472.69,179,2,Friday,No,Yes,4,4,15138.05,-52.63,0.01,Low,0.87,1
T00000106,C000631,M00147,2026-04-22 08:55:00,97822.71,INR,Wallet,Purchase,Healthcare,POS,iOS,Chrome,UK,60.562307,75.005382,186.24,255,8,Wednesday,No,Yes,1,21,39762.57,47.12,0.05,High,0.32,0
T00000107,C000456,M00163,2026-02-04 05:19:00,30423.02,INR,UPI,Refund,Healthcare,Mobile,Windows,Firefox,Germany,-58.615777,-57.649548,435.18,208,5,Wednesday,No,No,0,24,5772.09,-53.36,0.33,Low,0.18,0
T00000108,C000855,M00047,2025-08-25 09:12:00,46306.05,INR,Debit Card,Refund,Retail,Mobile,Android,Firefox,UK,5.674359,-173.274836,118.98,265,9,Monday,No,No,4,28,39977.77,-78.39,0.76,Medium,0.27,0
T00000109,C000819,M00080,2025-03-27 17:31:00,82683.46,INR,Debit Card,Purchase,Food,Mobile,Windows,Safari,UK,28.935158,-48.792462,439.64,51,17,Thursday,No,No,5,25,17954.91,13.56,0.32,Medium,0.17,0
T00000110,C000110,M00175,2026-03-13 14:29:00,18844.81,INR,Wallet,Transfer,Entertainment,POS,iOS,Chrome,UK,46.547302,-11.61508,485.78,457,14,Friday,No,No,2,24,43465.11,-56.06,1.0,Low,0.34,0
T00000111,C000366,M00136,2026-02-05 03:04:00,57048.31,INR,Credit Card,Purchase,Electronics,POS,iOS,Edge,India,49.785776,-107.489686,354.66,389,3,Thursday,No,Yes,0,29,25943.89,-17.37,0.43,High,0.36,0
T00000112,C000592,M00133,2025-02-21 05:25:00,58675.29,INR,Debit Card,Purchase,Healthcare,Desktop,Windows,Firefox,India,43.285244,89.172389,365.26,590,5,Friday,No,No,4,28,43084.85,56.71,0.47,High,0.2,0
T00000113,C000935,M00057,2025-08-28 02:30:00,21132.25,INR,Wallet,Transfer,Food,POS,Windows,Edge,Canada,-24.210878,51.375037,471.69,529,2,Thursday,No,No,4,20,5693.21,97.78,0.26,Low,0.37,0
