customer_id,age,gender,country,state,city,occupation,annual_income,credit_score,customer_since,account_type,risk_level,total_accounts,avg_monthly_balance,loan_status
C000112,53,Male,Canada,Texas,Hyderabad,Doctor,812675,720,2018-12-19,Premium,High,4,460130,Closed
C000113,21,Female,Canada,Maharashtra,Mumbai,Engineer,2723965,819,2017-05-21,Savings,Low,2,449216,None
C000114,40,Other,UK,Tamil Nadu,London,Doctor,2707949,531,2024-01-20,Current,Medium,5,326689,Closed
C000115,59,Other,India,Texas,San Francisco,Developer,1421757,329,2017-01-08,Current,Medium,3,488151,Active
C000116,40,Male,USA,Karnataka,Hyderabad,Manager,1981011,371,2016-08-04,Premium,Low,1,53107,Closed
C000117,51,Male,Germany,California,Delhi,Doctor,960222,678,2018-06-30,Premium,Low,5,317592,None
C000118,21,Male,USA,Texas,Chennai,Manager,642177,578,2019-12-20,Premium,Low,5,236758,Active
C000119,35,Male,Canada,Tamil Nadu,Mumbai,Student,765105,590,2022-08-09,Premium,Low,5,354769,Active
C000120,20,Male,Germany,Texas,Chennai,Engineer,1157412,608,2025-08-08,Savings,Medium,3,156753,Active
C000121,25,Male,Germany,California,Bengaluru,Teacher,1894705,845,2022-11-22,Savings,Low,3,42788,Active
C000122,65,Male,Germany,Tamil Nadu,Delhi,Engineer,1613071,889,2019-10-25,Premium,Low,4,156789,None
C000123,43,Male,UK,Karnataka,London,Analyst,2229786,670,2015-12-27,Current,Medium,2,233419,Closed
C000124,43,Other,India,California,London,Doctor,1724021,526,2018-09-26,Savings,Low,1,283189,Closed
C000125,30,Female,UK,Karnataka,Bengaluru,Engineer,914231,562,2017-03-19,Savings,Low,1,97875,Closed
C000126,49,Female,Canada,Texas,Delhi,Manager,2667650,630,2024-09-09,Premium,Low,4,40801,Active
C000127,46,Other,UK,Maharashtra,Hyderabad,Engineer,1776152,819,2015-10-31,Current,Low,1,34826,Active
C000128,36,Male,India,Texas,Hyderabad,Analyst,1912636,773,2021-07-05,Premium,High,1,240789,Closed
C000129,59,Male,UK,Texas,Delhi,Analyst,932757,363,2020-01-20,Savings,Medium,3,379507,None
C000130,50,Other,USA,Tamil Nadu,Bengaluru,Manager,2136091,749,2020-11-16,Premium,Low,3,200481,Active
C000131,42,Female,UK,Texas,Chennai,Developer,2946130,642,2015-09-27,Current,Low,4,153974,Active
C000132,64,Other,Canada,Karnataka,Mumbai,Engineer,2744186,444,2025-04-12,Current,Low,4,72607,Closed
C000133,63,Male,UK,Texas,Delhi,Manager,1677730,430,2022-07-07,Premium,Medium,5,53996,Closed
C000134,60,Female,Canada,Maharashtra,Chennai,Doctor,1595478,484,2025-08-31,Savings,Low,4,105666,None
C000135,26,Male,India,Maharashtra,London,Developer,724215,819,2023-08-24,Premium,Medium,5,24790,Closed
C000136,39,Other,USA,Texas,Delhi,Teacher,980514,485,2024-04-28,Premium,Medium,2,383107,Active
C000137,20,Female,UK,Karnataka,Delhi,Analyst,1495074,759,2017-08-16,Premium,Low,4,478942,None
C000138,41,Other,Canada,California,Delhi,Developer,1481836,691,2020-08-21,Premium,Low,2,433286,None
C000139,69,Other,USA,Maharashtra,Chennai,Manager,2315743,680,2021-03-21,Savings,Medium,5,451256,None
C000140,36,Male,USA,Maharashtra,Delhi,Analyst,918025,747,2016-01-11,Savings,Medium,3,492835,None
C000141,44,Male,Germany,Texas,Mumbai,Teacher,1919698,383,2019-03-16,Savings,Low,1,444970,Closed
C000142,59,Female,USA,Karnataka,Chennai,Doctor,2281619,442,2023-07-06,Premium,Low,5,7753,None
C000143,19,Female,USA,Karnataka,Hyderabad,Manager,2853828,840,2019-09-30,Savings,Medium,2,162889,None
C000144,21,Male,Germany,Texas,Delhi,Engineer,764971,811,2021-09-10,Premium,Low,5,306490,None
C000145,63,Male,UK,California,Chennai,Analyst,1779817,546,2021-05-26,Current,Low,1,279456,Active
C000146,22,Other,Canada,Texas,London,Analyst,2624281,320,2019-05-19,Current,Low,4,200717,Active
C000147,65,Male,UK,Tamil Nadu,Mumbai,Teacher,2935100,406,2023-08-27,Premium,Medium,3,74945,None
C000148,40,Other,UK,Karnataka,London,Developer,2248769,790,2022-01-31,Savings,Medium,1,380413,Active
C000149,20,Female,USA,Tamil Nadu,London,Teacher,475766,623,2025-06-20,Current,Low,5,253197,Active
C000150,20,Other,USA,Maharashtra,Mumbai,Developer,500504,639,2018-01-24,Savings,Medium,4,471347,Active
C000151,65,Female,Germany,Maharashtra,Bengaluru,Student,2386764,676,2025-05-13,Premium,Low,1,386200,Active
C000152,23,Female,Canada,Karnataka,Hyderabad,Doctor,1647258,405,2015-11-24,Current,Low,3,238788,Closed
C000153,63,Female,USA,California,Mumbai,Student,477650,661,2021-11-23,Current,Low,1,44343,Closed
C000154,58,Female,UK,Texas,London,Manager,971032,331,2016-08-07,Premium,Low,4,23244,None
C000155,22,Male,UK,Maharashtra,Delhi,Analyst,435833,457,2022-08-13,Current,High,3,237752,None
C000156,54,Male,Canada,Maharashtra,Delhi,Doctor,1468909,555,2025-10-09,Savings,Low,2,266642,Closed
C000157,42,Other,India,Maharashtra,London,Doctor,2171805,519,2021-11-11,Current,Low,4,109951,None
C000158,26,Male,Germany,Karnataka,San Francisco,Student,668221,627,2022-06-28,Current,Medium,5,289253,Active
C000159,37,Male,USA,Maharashtra,Hyderabad,Teacher,809031,505,2023-11-19,Savings,Low,4,18780,Active
C000160,53,Other,UK,California,London,Analyst,844299,388,2015-09-27,Current,Low,4,280615,Active
C000161,67,Female,Canada,Tamil Nadu,Bengaluru,Doctor,2994163,375,2020-01-18,Current,Low,3,72284,Closed
C000162,58,Other,USA,Karnataka,Delhi,Analyst,532418,427,2020-10-23,Savings,Low,2,174167,Closed
C000163,32,Female,Canada,Maharashtra,London,Engineer,1351114,501,2022-02-14,Premium,Low,3,327137,Closed
C000164,23,Other,USA,Texas,Hyderabad,Teacher,1018067,645,2024-06-13,Premium,Low,1,47584,None
C000165,59,Other,UK,Karnataka,London,Analyst,2047291,331,2020-08-01,Premium,Low,3,258202,None
C000166,69,Other,Germany,Maharashtra,Delhi,Engineer,551293,461,2019-12-06,Current,Low,2,183358,Closed
C000167,27,Female,UK,Maharashtra,Delhi,Teacher,1854158,827,2021-04-19,Savings,Low,4,69236,Active
C000168,46,Male,USA,Tamil Nadu,Chennai,Doctor,1911241,728,2017-10-13,Savings,Medium,5,383078,Active
C000169,30,Male,Germany,Texas,Delhi,Student,1594112,809,2015-04-05,Savings,High,5,244720,None
C000170,31,Other,UK,Tamil Nadu,Chennai,Doctor,2375736,781,2018-03-16,Premium,Low,1,230930,None
C000171,34,Other,UK,California,Mumbai,Engineer,1980161,352,2021-05-24,Premium,Low,5,156310,None
C000172,42,Other,Germany,Texas,Mumbai,Developer,2914064,421,2016-06-11,Savings,Low,3,297464,Active
C000173,66,Male,USA,Texas,Hyderabad,Student,2397478,341,2015-07-05,Savings,Low,3,426509,Active
C000174,51,Female,USA,Texas,Hyderabad,Teacher,1675588,626,2016-10-27,Current,High,3,316282,Active
C000175,50,Other,Canada,California,San Francisco,Analyst,1557412,786,2024-02-24,Savings,Low,1,223387,Closed
C000176,37,Other,India,Texas,Delhi,Doctor,2726297,891,2017-07-21,Premium,Low,4,94397,Closed
C000177,58,Other,Canada,California,Bengaluru,Developer,1315846,332,2021-06-03,Premium,Low,1,236231,Active
C000178,44,Male,Germany,Karnataka,Delhi,Analyst,2864724,782,2024-10-15,Premium,Medium,2,276939,None
C000179,53,Female,Germany,Texas,Delhi,Doctor,1026379,770,2025-03-25,Premium,Low,3,359349,Closed
C000180,61,Other,UK,Texas,Delhi,Teacher,1333976,585,2021-04-04,Current,Low,3,409317,Active
C000181,63,Male,Germany,Maharashtra,Delhi,Doctor,2650855,580,2018-03-24,Savings,Low,5,204069,Active
C000182,70,Female,USA,Maharashtra,Chennai,Doctor,631473,654,2025-05-12,Current,Low,4,117190,None
C000183,70,Other,UK,Texas,San Francisco,Doctor,875764,411,2021-11-26,Premium,Low,2,31615,Closed
C000184,51,Male,USA,Tamil Nadu,Chennai,Student,1685351,783,2016-02-16,Premium,Medium,1,293543,None
C000185,44,Other,Germany,California,San Francisco,Teacher,1504793,628,2018-03-15,Premium,Low,1,346992,Closed
C000186,32,Other,India,Karnataka,Delhi,Developer,1037311,337,2024-05-18,Current,Medium,2,496052,Closed
C000187,36,Male,India,Maharashtra,Hyderabad,Analyst,750051,643,2018-03-11,Current,High,5,279893,Active
C000188,26,Other,Germany,Maharashtra,Bengaluru,Developer,772474,638,2016-10-27,Premium,Low,3,381752,None
C000189,18,Other,UK,Maharashtra,Hyderabad,Manager,1110177,479,2021-11-07,Premium,Medium,4,275155,Active
C000190,23,Female,India,Karnataka,Bengaluru,Student,1657283,554,2015-01-28,Current,Low,4,400185,Active
C000191,39,Female,Canada,Texas,Chennai,Doctor,1808070,541,2015-09-12,Premium,Low,3,88737,Active
C000192,61,Other,UK,Tamil Nadu,San Francisco,Doctor,1841590,526,2017-06-16,Savings,Low,4,397028,Closed
C000193,41,Female,Canada,California,London,Analyst,1216084,553,2022-08-18,Premium,Medium,1,280516,Active
C000194,51,Other,UK,Tamil Nadu,Hyderabad,Engineer,559032,860,2025-02-15,Premium,Low,5,83565,None
C000195,38,Other,Germany,Tamil Nadu,San Francisco,Teacher,2745898,800,2016-01-08,Premium,Low,1,242729,None
C000196,50,Female,Germany,Texas,Chennai,Analyst,2239355,615,2023-02-10,Savings,Low,1,396016,None
C000197,55,Male,India,California,Mumbai,Manager,567428,854,2015-09-04,Savings,High,4,21638,Active
C000198,44,Male,USA,California,Mumbai,Student,2181301,686,2019-03-19,Savings,Low,5,74724,Closed
C000199,40,Male,USA,Texas,Delhi,Analyst,834132,528,2024-05-12,Savings,Medium,3,247747,Closed
C000200,64,Other,Germany,Texas,Delhi,Developer,1263280,553,2020-03-01,Current,Low,2,496473,Closed
C000201,66,Male,India,California,Hyderabad,Developer,365623,546,2017-04-24,Savings,Low,1,239063,Closed
C000202,61,Other,India,Karnataka,San Francisco,Engineer,1987223,749,2017-08-17,Premium,Low,1,78471,Closed
C000203,36,Male,Canada,Maharashtra,Hyderabad,Analyst,1644966,542,2018-05-21,Savings,High,5,120890,Active
C000204,37,Female,India,Texas,Hyderabad,Manager,1034561,737,2021-03-26,Current,Low,3,498662,Closed
C000205,60,Female,Canada,Maharashtra,San Francisco,Student,2012363,452,2018-05-13,Current,Low,5,253260,None
C000206,32,Female,USA,California,Chennai,Analyst,2030894,726,2021-04-01,Premium,Low,2,138691,None
C000207,39,Other,India,California,London,Doctor,687822,848,2023-02-15,Savings,Low,4,358198,Closed
C000208,56,Male,India,Karnataka,London,Developer,2764504,872,2017-06-07,Current,Low,3,163957,None
C000209,31,Male,India,California,Bengaluru,Manager,2835043,509,2019-06-13,Savings,Low,3,204576,Active
C000210,52,Other,UK,Maharashtra,Mumbai,Doctor,2450908,809,2020-03-23,Savings,Medium,4,404312,Active
C000211,31,Female,UK,California,Chennai,Analyst,1228090,449,2015-03-08,Current,Low,5,308637,Closed
C000212,44,Female,USA,Karnataka,Mumbai,Teacher,1893163,883,2024-05-06,Savings,Low,3,139913,Active
C000213,64,Other,Germany,California,Bengaluru,Manager,1777133,473,2016-07-27,Premium,Low,2,485719,Closed
C000214,59,Male,Canada,Tamil Nadu,London,Developer,611764,349,2023-07-28,Savings,Low,2,40634,Closed
C000215,27,Male,USA,Texas,Delhi,Doctor,553546,794,2022-05-24,Current,Low,5,294220,Active
C000216,18,Male,Canada,Maharashtra,Hyderabad,Doctor,371901,814,2024-02-13,Premium,Low,2,61107,None
C000217,51,Male,USA,Karnataka,Hyderabad,Analyst,1358718,662,2017-12-30,Current,Low,4,245647,Closed
C000218,33,Other,USA,Maharashtra,San Francisco,Developer,638131,332,2016-01-18,Current,Low,5,254563,None
C000219,58,Male,USA,Tamil Nadu,Delhi,Developer,2119948,639,2021-05-06,Savings,Medium,1,125463,None
C000220,62,Other,Germany,Maharashtra,Chennai,Engineer,1475969,856,2021-04-27,Premium,Low,3,13209,None
C000221,55,Male,Germany,Tamil Nadu,Mumbai,Teacher,2665412,546,2021-05-10,Current,Low,5,178921,Active
C000222,66,Other,USA,Tamil Nadu,Hyderabad,Manager,1750639,354,2016-02-05,Current,Low,1,183568,Closed
C000223,67,Other,Canada,California,London,Doctor,424259,579,2023-10-15,Current,Low,3,294951,Active
C000224,45,Male,Canada,California,Chennai,Developer,2894663,602,2023-12-13,Savings,Medium,1,145494,None
C000225,42,Other,USA,California,Mumbai,Doctor,746906,393,2015-01-22,Current,Low,3,58598,None
C000226,23,Male,Germany,California,Hyderabad,Analyst,2449332,717,2016-02-28,Savings,Low,5,53792,Closed
C000227,56,Female,Germany,Tamil Nadu,Mumbai,Student,1926549,386,2023-02-16,Premium,High,2,304871,Closed
C000228,28,Other,Germany,Karnataka,Bengaluru,Doctor,1563036,574,2020-07-12,Savings,Low,4,149683,Active
C000229,37,Female,India,Maharashtra,Mumbai,Teacher,2921581,807,2021-08-29,Premium,Low,1,76035,Active
C000230,18,Female,UK,Texas,Delhi,Developer,1682198,750,2018-10-03,Current,Medium,5,76368,Active
C000231,38,Other,USA,California,Mumbai,Teacher,1970337,626,2018-04-08,Premium,Low,4,306926,None
C000232,38,Female,UK,California,Mumbai,Engineer,2664960,504,2021-08-22,Premium,Low,5,19111,Closed
C000233,47,Other,USA,California,London,Doctor,590072,718,2022-07-19,Current,Low,3,131888,Active
C000234,60,Male,Germany,California,Chennai,Student,2807916,790,2021-07-12,Current,Low,4,290026,None
C000235,68,Female,Canada,Texas,San Francisco,Engineer,758728,554,2022-05-17,Premium,Low,5,28224,Closed
C000236,59,Other,Germany,Maharashtra,London,Student,744363,310,2016-02-08,Current,Low,5,297549,Closed
C000237,62,Other,USA,California,Mumbai,Student,2242227,812,2016-09-09,Current,High,4,59813,Active
C000238,44,Male,India,Karnataka,Mumbai,Doctor,1738925,766,2023-10-18,Savings,Low,3,254646,None
C000239,46,Other,Germany,Maharashtra,Chennai,Doctor,487414,417,2015-04-03,Current,Low,2,492547,Closed
C000240,33,Other,USA,Texas,Bengaluru,Doctor,2648176,736,2025-09-30,Current,Low,4,335175,None
C000241,29,Other,Germany,California,Chennai,Manager,2875751,502,2020-01-16,Premium,Low,1,374484,None
C000242,31,Female,India,Texas,Chennai,Developer,2551875,491,2019-02-07,Current,Low,1,142548,Closed
C000243,49,Other,UK,Texas,Delhi,Analyst,1946448,416,2018-11-26,Current,Medium,5,95454,Closed
C000244,63,Female,Canada,Texas,Chennai,Manager,861817,620,2016-04-27,Savings,Low,2,200719,Closed
C000245,27,Other,Germany,California,Hyderabad,Teacher,2710911,692,2019-09-29,Savings,Low,5,368558,Closed
C000246,29,Other,USA,California,Mumbai,Teacher,1084748,622,2024-06-10,Current,Low,3,10024,Active
C000247,26,Male,Germany,Texas,Hyderabad,Manager,2376054,718,2022-09-05,Current,Low,4,261219,None
C000248,23,Other,India,Karnataka,Mumbai,Engineer,1452816,530,2021-01-11,Current,Low,4,301563,Closed
C000249,67,Female,Canada,Texas,Chennai,Analyst,779017,574,2023-09-10,Premium,Medium,3,289186,None
C000250,66,Other,Germany,Texas,Bengaluru,Student,729565,553,2018-05-04,Savings,Low,3,457040,None
C000251,46,Male,USA,Karnataka,London,Manager,2765931,659,2024-08-27,Premium,Low,4,92022,Closed
C000252,26,Male,USA,Tamil Nadu,Hyderabad,Doctor,2532547,587,2021-09-10,Premium,Low,3,156693,Closed
C000253,35,Other,India,Karnataka,London,Developer,2026359,360,2018-02-09,Premium,Low,2,135902,None
