device_id,customer_id,device_type,manufacturer,operating_system,rooted,biometric_enabled,trusted_device
D000050,C000981,Mobile,Apple,iOS,Yes,No,Yes
D000051,C000060,Desktop,Dell,Windows,No,No,No
D000052,C000852,Desktop,Samsung,Android,No,No,No
D000053,C000109,POS,Apple,macOS,Yes,No,Yes
D000054,C000369,POS,Apple,macOS,Yes,No,Yes
D000055,C000645,Mobile,Apple,macOS,No,Yes,Yes
D000056,C000325,POS,Apple,iOS,Yes,No,No
D000057,C000777,POS,Apple,macOS,No,No,Yes
D000058,C000498,Mobile,Apple,iOS,Yes,No,Yes
D000059,C000103,Mobile,Apple,iOS,Yes,Yes,Yes
D000060,C000544,Desktop,Samsung,Android,Yes,Yes,No
D000061,C000827,POS,Apple,macOS,Yes,Yes,No
D000062,C000884,Desktop,Samsung,Android,No,Yes,Yes
D000063,C000361,Mobile,Apple,iOS,No,No,Yes
D000064,C000753,Mobile,Dell,Windows,No,Yes,Yes
D000065,C000146,Desktop,Apple,iOS,No,No,Yes
D000066,C000571,Desktop,Apple,iOS,Yes,Yes,Yes
D000067,C000878,Desktop,Dell,Windows,Yes,Yes,Yes
D000068,C000181,Desktop,Apple,macOS,No,No,No
D000069,C000931,Mobile,Apple,iOS,Yes,Yes,Yes
D000070,C000302,Desktop,Dell,Windows,No,Yes,No
D000071,C000521,POS,Apple,macOS,No,Yes,No
D000072,C000022,Mobile,Apple,macOS,Yes,No,No
D000073,C000074,POS,Dell,Windows,No,Yes,No
D000074,C000264,POS,Apple,macOS,Yes,No,No
D000075,C000164,POS,Apple,iOS,No,No,Yes
D000076,C000190,Desktop,Dell,Windows,No,No,No
D000077,C000164,Desktop,Apple,iOS,Yes,Yes,No
D000078,C000908,Desktop,Samsung,Android,No,Yes,Yes
D000079,C000029,POS,Apple,iOS,No,Yes,Yes
D000080,C000120,Mobile,Dell,Windows,No,No,Yes
D000081,C000156,POS,Samsung,Android,No,No,No
D000082,C000447,Mobile,Apple,iOS,No,Yes,No
D000083,C000847,POS,Apple,iOS,No,Yes,Yes
D000084,C000387,Mobile,Apple,macOS,No,No,Yes
D000085,C000100,Mobile,Dell,Windows,Yes,Yes,Yes
D000086,C000045,Desktop,Samsung,Android,Yes,Yes,Yes
D000087,C000182,Mobile,Samsung,Android,Yes,Yes,Yes
D000088,C000768,Desktop,Dell,Windows,Yes,No,Yes
D000089,C000557,Desktop,Apple,macOS,No,No,No
D000090,C000107,POS,Samsung,Android,Yes,No,No
D000091,C000399,Desktop,Samsung,Android,No,Yes,Yes
D000092,C000814,Desktop,Samsung,Android,Yes,No,No
D000093,C000251,Desktop,Apple,macOS,No,No,No
D000094,C000969,Desktop,Dell,Windows,No,Yes,No
D000095,C000223,Desktop,Apple,iOS,Yes,Yes,Yes
D000096,C000829,Mobile,Apple,macOS,Yes,Yes,Yes
D000097,C000018,Desktop,Apple,iOS,Yes,Yes,No
D000098,C000627,Desktop,Apple,iOS,Yes,Yes,No
D000099,C000961,POS,Apple,macOS,Yes,Yes,No
D000100,C000158,Desktop,Apple,macOS,No,Yes,Yes
D000101,C000114,POS,Apple,iOS,Yes,Yes,Yes
D000102,C000433,Desktop,Apple,macOS,Yes,Yes,Yes
D000103,C000006,Desktop,Samsung,Android,Yes,Yes,No
D000104,C000558,Desktop,Apple,iOS,Yes,Yes,Yes
D000105,C000647,Mobile,Dell,Windows,No,Yes,No
D000106,C000908,POS,Apple,iOS,Yes,Yes,No
D000107,C000948,Desktop,Apple,iOS,Yes,Yes,Yes
D000108,C000408,POS,Apple,macOS,No,Yes,No
D000109,C000956,Mobile,Apple,macOS,Yes,Yes,Yes
D000110,C000690,Mobile,Apple,macOS,Yes,No,No
D000111,C000518,Desktop,Samsung,Android,Yes,No,Yes
D000112,C000466,Mobile,Apple,macOS,Yes,No,No
D000113,C000001,Mobile,Samsung,Android,Yes,Yes,Yes
D000114,C000922,Mobile,Apple,iOS,Yes,Yes,Yes
D000115,C000920,Mobile,Dell,Windows,No,Yes,No
D000116,C000726,POS,Dell,Windows,Yes,No,No
D000117,C000395,Mobile,Apple,macOS,Yes,No,No
D000118,C000007,POS,Apple,iOS,Yes,No,Yes
D000119,C000637,Mobile,Samsung,Android,No,No,No
D000120,C000472,POS,Samsung,Android,Yes,No,No
D000121,C000555,POS,Apple,iOS,No,No,No
D000122,C000753,POS,Apple,iOS,Yes,Yes,No
D000123,C000378,POS,Apple,macOS,No,No,Yes
D000124,C000589,Mobile,Dell,Windows,Yes,No,No
D000125,C000316,POS,Apple,iOS,Yes,No,No
D000126,C000617,Desktop,Apple,iOS,No,Yes,No
D000127,C000908,Mobile,Dell,Windows,Yes,No,No
D000128,C000147,POS,Apple,macOS,No,No,No
D000129,C000783,Desktop,Samsung,Android,No,No,Yes
D000130,C000567,POS,Samsung,Android,No,No,No
D000131,C000573,Desktop,Dell,Windows,No,No,No
D000132,C000977,POS,Samsung,Android,Yes,No,Yes
D000133,C000474,Mobile,Apple,macOS,No,No,No
D000134,C000409,POS,Apple,iOS,Yes,No,No
D000135,C000272,Desktop,Samsung,Android,No,Yes,Yes
D000136,C000897,Mobile,Apple,macOS,No,Yes,Yes
D000137,C000168,Desktop,Samsung,Android,Yes,No,Yes
D000138,C000410,Desktop,Apple,macOS,Yes,Yes,Yes
D000139,C000548,Desktop,Dell,Windows,No,Yes,Yes
D000140,C000570,POS,Samsung,Android,Yes,Yes,No
D000141,C000313,POS,Apple,macOS,Yes,No,No
D000142,C000567,Desktop,Samsung,Android,No,Yes,Yes
D000143,C000948,Desktop,Apple,iOS,No,Yes,Yes
D000144,C000218,Mobile,Samsung,Android,No,No,No
D000145,C000607,POS,Samsung,Android,No,Yes,Yes
D000146,C000397,Desktop,Dell,Windows,Yes,No,Yes
D000147,C000555,POS,Apple,macOS,No,No,No
D000148,C000515,Desktop,Samsung,Android,Yes,Yes,No
D000149,C000425,POS,Apple,iOS,Yes,Yes,Yes
D000150,C000438,Desktop,Apple,iOS,Yes,Yes,Yes
D000151,C000941,Desktop,Dell,Windows,No,No,Yes
D000152,C000403,Desktop,Samsung,Android,No,No,No
D000153,C000839,Desktop,Apple,macOS,Yes,No,Yes
D000154,C000146,Mobile,Apple,macOS,Yes,No,No
D000155,C000894,Desktop,Apple,macOS,Yes,No,No
D000156,C000189,Mobile,Apple,iOS,Yes,Yes,No
D000157,C000221,POS,Apple,iOS,No,No,Yes
D000158,C000511,Desktop,Dell,Windows,No,No,No
D000159,C000702,Desktop,Dell,Windows,No,Yes,No
D000160,C000175,Mobile,Dell,Windows,Yes,Yes,No
D000161,C000501,Mobile,Samsung,Android,Yes,No,No
D000162,C000224,Mobile,Dell,Windows,Yes,Yes,Yes
D000163,C000404,Mobile,Apple,iOS,Yes,Yes,Yes
D000164,C000243,POS,Apple,macOS,Yes,No,No
D000165,C000436,Desktop,Apple,iOS,Yes,No,No
D000166,C000568,Desktop,Dell,Windows,Yes,Yes,No
D000167,C000698,Desktop,Apple,iOS,Yes,No,Yes
D000168,C000119,POS,Apple,macOS,No,No,No
D000169,C000460,Mobile,Samsung,Android,Yes,No,Yes
D000170,C000372,Desktop,Samsung,Android,Yes,No,No
D000171,C000315,Desktop,Apple,macOS,No,Yes,No
D000172,C000366,Mobile,Apple,iOS,No,No,No
D000173,C000854,Desktop,Samsung,Android,Yes,No,No
D000174,C000205,Desktop,Apple,macOS,No,Yes,Yes
D000175,C000237,Desktop,Dell,Windows,Yes,Yes,Yes
D000176,C000543,Mobile,Samsung,Android,No,Yes,Yes
D000177,C000246,POS,Apple,iOS,Yes,No,Yes
D000178,C000519,POS,Apple,macOS,Yes,Yes,No
D000179,C000492,POS,Apple,iOS,No,Yes,Yes
D000180,C000848,POS,Dell,Windows,No,Yes,No
D000181,C000321,Mobile,Samsung,Android,Yes,No,No
D000182,C000335,POS,Apple,macOS,Yes,No,Yes
D000183,C000832,POS,Apple,macOS,Yes,Yes,Yes
D000184,C000436,POS,Dell,Windows,No,Yes,No
D000185,C000891,Desktop,Dell,Windows,No,Yes,No
D000186,C000761,Desktop,Apple,macOS,Yes,No,Yes
D000187,C000230,Mobile,Dell,Windows,No,Yes,No
D000188,C000645,Desktop,Apple,macOS,No,No,Yes
D000189,C000707,Mobile,Samsung,Android,Yes,Yes,No
D000190,C000234,POS,Apple,macOS,Yes,Yes,No
D000191,C000098,POS,Apple,iOS,Yes,No,No
D000192,C000175,POS,Dell,Windows,No,No,No
D000193,C000635,POS,Dell,Windows,No,No,No
D000194,C000575,Desktop,Apple,iOS,No,No,No
D000195,C000969,POS,Apple,iOS,Yes,Yes,Yes
D000196,C000074,Desktop,Apple,iOS,No,Yes,Yes
D000197,C000542,POS,Dell,Windows,Yes,No,Yes
D000198,C000015,Desktop,Apple,macOS,No,No,No
D000199,C000809,Desktop,Samsung,Android,Yes,No,No
D000200,C000536,Desktop,Apple,iOS,Yes,Yes,Yes
D000201,C000654,Mobile,Apple,iOS,Yes,No,No
D000202,C000794,Mobile,Samsung,Android,Yes,No,Yes
D000203,C000968,Desktop,Dell,Windows,Yes,Yes,Yes
D000204,C000456,Desktop,Samsung,Android,Yes,No,No
D000205,C000574,Desktop,Apple,iOS,No,Yes,Yes
D000206,C000092,POS,Dell,Windows,No,Yes,No
D000207,C000788,POS,Samsung,Android,No,Yes,Yes
D000208,C000021,POS,Apple,macOS,Yes,Yes,Yes
D000209,C000011,Mobile,Samsung,Android,Yes,No,No
D000210,C000662,Desktop,Apple,iOS,No,Yes,Yes
D000211,C000044,POS,Apple,macOS,Yes,No,Yes
D000212,C000044,Desktop,Samsung,Android,No,Yes,Yes
D000213,C000218,POS,Dell,Windows,No,Yes,No
D000214,C000928,Desktop,Samsung,Android,No,Yes,No
D000215,C000144,Desktop,Apple,macOS,Yes,Yes,No
D000216,C000582,Mobile,Apple,macOS,Yes,No,Yes
D000217,C000722,Mobile,Samsung,Android,No,No,No
D000218,C000376,POS,Samsung,Android,No,No,Yes
D000219,C000667,Desktop,Samsung,Android,No,No,Yes
D000220,C000582,Mobile,Apple,macOS,No,No,Yes
D000221,C000389,Desktop,Samsung,Android,Yes,No,Yes
D000222,C000859,POS,Apple,iOS,Yes,No,No
D000223,C000468,Mobile,Apple,iOS,Yes,No,No
D000224,C000005,Desktop,Apple,macOS,Yes,No,Yes
D000225,C000387,Desktop,Samsung,Android,No,Yes,No
D000226,C000036,Mobile,Samsung,Android,No,No,Yes
D000227,C000549,POS,Dell,Windows,No,No,No
D000228,C000999,Desktop,Samsung,Android,Yes,Yes,Yes
D000229,C000139,Desktop,Samsung,Android,Yes,Yes,No
D000230,C000499,Desktop,Apple,iOS,Yes,No,Yes
D000231,C000270,POS,Samsung,Android,No,No,No
D000232,C000542,POS,Samsung,Android,Yes,No,Yes
D000233,C000590,Desktop,Samsung,Android,Yes,No,No
D000234,C000267,POS,Apple,macOS,Yes,Yes,Yes
D000235,C000962,POS,Dell,Windows,No,No,No
D000236,C000115,POS,Dell,Windows,Yes,No,No
D000237,C000867,Desktop,Apple,iOS,Yes,No,No
D000238,C000022,POS,Apple,iOS,No,Yes,Yes
D000239,C000860,Desktop,Apple,macOS,Yes,Yes,No
D000240,C000605,POS,Apple,iOS,Yes,No,Yes
D000241,C000454,POS,Apple,macOS,No,Yes,Yes
D000242,C000415,Desktop,Apple,iOS,No,No,Yes
D000243,C000097,Mobile,Dell,Windows,Yes,Yes,Yes
D000244,C000198,POS,Dell,Windows,No,Yes,Yes
D000245,C000406,Mobile,Apple,iOS,No,No,Yes
D000246,C000947,Desktop,Samsung,Android,Yes,Yes,Yes
D000247,C000626,Mobile,Samsung,Android,No,No,No
D000248,C000008,Desktop,Apple,iOS,No,Yes,Yes
D000249,C000725,POS,Samsung,Android,No,No,Yes
D000250,C000164,Desktop,Apple,iOS,No,Yes,Yes
D000251,C000637,Desktop,Samsung,Android,No,Yes,Yes
D000252,C000769,Desktop,Apple,iOS,No,Yes,No
D000253,C000763,Desktop,Apple,iOS,No,No,Yes
D000254,C000182,Desktop,Apple,iOS,Yes,No,No
D000255,C000190,Desktop,Apple,iOS,Yes,No,Yes
D000256,C000430,Mobile,Apple,iOS,Yes,Yes,Yes
D000257,C000313,Desktop,Apple,iOS,No,Yes,No
D000258,C000052,Desktop,Apple,iOS,Yes,Yes,No
D000259,C000712,POS,Apple,macOS,Yes,Yes,Yes
D000260,C000033,POS,Samsung,Android,No,Yes,No
D000261,C000739,Mobile,Apple,macOS,Yes,No,Yes
D000262,C000982,POS,Apple,macOS,Yes,Yes,No
D000263,C000488,POS,Apple,macOS,No,Yes,Yes
D000264,C000507,Mobile,Samsung,Android,Yes,No,Yes
D000265,C000818,Desktop,Samsung,Android,Yes,No,Yes
D000266,C000771,Mobile,Apple,iOS,No,Yes,Yes
D000267,C000112,Mobile,Samsung,Android,No,Yes,No
D000268,C000671,Desktop,Samsung,Android,No,Yes,Yes
D000269,C000026,Desktop,Samsung,Android,No,No,No
D000270,C000508,Mobile,Samsung,Android,Yes,Yes,No
D000271,C000466,Desktop,Samsung,Android,No,Yes,No
D000272,C000149,Mobile,Samsung,Android,No,No,Yes
D000273,C000370,Mobile,Apple,iOS,Yes,No,Yes
D000274,C000351,Mobile,Apple,iOS,Yes,No,Yes
D000275,C000978,POS,Apple,iOS,Yes,No,No
D000276,C000817,Desktop,Apple,macOS,Yes,No,Yes
D000277,C000691,Mobile,Apple,iOS,No,No,No
D000278,C000231,Mobile,Samsung,Android,No,No,Yes
D000279,C000618,Desktop,Apple,macOS,Yes,Yes,No
D000280,C000848,POS,Dell,Windows,No,No,Yes
D000281,C000038,Mobile,Apple,macOS,Yes,Yes,Yes
D000282,C000979,POS,Dell,Windows,Yes,Yes,No
D000283,C000776,POS,Apple,macOS,No,No,No
D000284,C000570,Desktop,Apple,macOS,No,Yes,Yes
D000285,C000389,Mobile,Apple,macOS,Yes,No,No
D000286,C000266,Mobile,Apple,macOS,Yes,No,Yes
D000287,C000586,Mobile,Samsung,Android,No,No,Yes
D000288,C000448,Desktop,Samsung,Android,Yes,Yes,No
D000289,C000403,POS,Apple,iOS,Yes,Yes,No
D000290,C000286,POS,Apple,iOS,No,No,No
D000291,C000968,Mobile,Apple,macOS,Yes,Yes,Yes
D000292,C000327,Desktop,Apple,macOS,No,Yes,Yes
D000293,C000173,Mobile,Samsung,Android,Yes,Yes,No
D000294,C000888,Mobile,Apple,iOS,No,No,Yes
D000295,C000780,Mobile,Apple,iOS,Yes,Yes,Yes
D000296,C000562,POS,Samsung,Android,No,Yes,No
D000297,C000465,Mobile,Apple,macOS,Yes,Yes,Yes
D000298,C000125,Desktop,Samsung,Android,Yes,No,Yes
D000299,C000594,Mobile,Samsung,Android,No,Yes,Yes
D000300,C000702,Desktop,Apple,iOS,Yes,No,No
D000301,C000398,Mobile,Samsung,Android,No,No,Yes
D000302,C000492,Desktop,Apple,macOS,No,Yes,Yes
D000303,C000024,POS,Samsung,Android,No,Yes,Yes
D000304,C000122,Mobile,Apple,macOS,Yes,No,Yes
D000305,C000536,Mobile,Samsung,Android,No,Yes,No
D000306,C000338,POS,Dell,Windows,Yes,No,Yes
D000307,C000194,POS,Samsung,Android,No,Yes,Yes
D000308,C000209,Desktop,Dell,Windows,Yes,No,No
D000309,C000031,Desktop,Apple,macOS,No,No,No
D000310,C000596,POS,Dell,Windows,No,No,No
D000311,C000152,POS,Apple,macOS,Yes,Yes,Yes
D000312,C000274,POS,Apple,iOS,Yes,Yes,Yes
D000313,C000943,Mobile,Apple,iOS,Yes,No,No
D000314,C000153,Desktop,Samsung,Android,Yes,Yes,No
D000315,C000509,Desktop,Samsung,Android,No,Yes,No
D000316,C000809,Desktop,Apple,iOS,Yes,No,No
D000317,C000974,Mobile,Apple,iOS,No,No,Yes
D000318,C000302,Mobile,Samsung,Android,Yes,Yes,Yes
D000319,C000110,POS,Dell,Windows,Yes,No,Yes
D000320,C000806,POS,Apple,iOS,No,No,Yes
D000321,C000682,Desktop,Dell,Windows,Yes,Yes,Yes
D000322,C000617,Mobile,Apple,macOS,Yes,Yes,No
D000323,C000419,Mobile,Apple,macOS,Yes,Yes,Yes
D000324,C000535,Mobile,Apple,iOS,No,Yes,Yes
D000325,C000741,POS,Samsung,Android,Yes,Yes,Yes
D000326,C000071,Desktop,Apple,macOS,Yes,Yes,Yes
D000327,C000970,POS,Dell,Windows,No,Yes,No
D000328,C000446,Desktop,Apple,macOS,Yes,No,No
D000329,C000743,Mobile,Apple,macOS,No,Yes,Yes
D000330,C000430,Mobile,Apple,macOS,No,No,Yes
D000331,C000637,Mobile,Samsung,Android,No,Yes,Yes
D000332,C000512,POS,Dell,Windows,Yes,No,No
D000333,C000266,Mobile,Apple,iOS,No,No,Yes
D000334,C000420,POS,Apple,macOS,Yes,Yes,No
D000335,C000768,POS,Samsung,Android,Yes,No,Yes
D000336,C000464,Mobile,Apple,macOS,No,No,No
D000337,C000955,POS,Dell,Windows,No,Yes,Yes
D000338,C000079,POS,Dell,Windows,No,No,No
D000339,C000810,POS,Dell,Windows,No,No,No
D000340,C000679,Mobile,Samsung,Android,Yes,Yes,No
D000341,C000038,Desktop,Samsung,Android,Yes,No,No
D000342,C000997,Mobile,Dell,Windows,Yes,Yes,No
D000343,C000832,Mobile,Dell,Windows,No,Yes,No
D000344,C000900,POS,Apple,macOS,No,Yes,Yes
D000345,C000089,Desktop,Apple,iOS,No,No,No
D000346,C000366,Desktop,Apple,iOS,Yes,Yes,No
D000347,C000821,Desktop,Dell,Windows,Yes,Yes,Yes
D000348,C000793,Mobile,Apple,macOS,Yes,Yes,No
D000349,C000003,POS,Apple,iOS,No,Yes,No
D000350,C000346,POS,Apple,iOS,No,Yes,Yes
D000351,C000601,Desktop,Dell,Windows,Yes,No,No
D000352,C000887,Mobile,Dell,Windows,No,Yes,Yes
D000353,C000187,Mobile,Samsung,Android,Yes,No,No
D000354,C000673,POS,Apple,iOS,No,Yes,Yes
D000355,C000884,Mobile,Apple,iOS,Yes,No,Yes
D000356,C000626,POS,Dell,Windows,No,Yes,Yes
D000357,C000146,Mobile,Apple,macOS,No,Yes,Yes
D000358,C000168,Mobile,Apple,iOS,Yes,Yes,No
D000359,C000083,Mobile,Samsung,Android,No,Yes,Yes
D000360,C000305,Desktop,Apple,iOS,Yes,Yes,Yes
D000361,C000766,Mobile,Apple,macOS,No,No,Yes
D000362,C000906,POS,Samsung,Android,No,Yes,No
D000363,C000740,POS,Samsung,Android,No,Yes,No
D000364,C000842,POS,Apple,macOS,No,No,Yes
D000365,C000079,Mobile,Samsung,Android,No,No,Yes
D000366,C000543,Mobile,Dell,Windows,Yes,Yes,No
D000367,C000572,POS,Apple,iOS,No,Yes,No
D000368,C000799,Desktop,Apple,iOS,Yes,Yes,No
D000369,C000969,Desktop,Samsung,Android,Yes,No,Yes
D000370,C000798,POS,Samsung,Android,No,Yes,Yes
D000371,C000694,POS,Apple,iOS,No,No,No
D000372,C000794,Mobile,Apple,macOS,Yes,No,No
D000373,C000042,Desktop,Apple,iOS,No,Yes,Yes
D000374,C000818,Desktop,Apple,iOS,Yes,No,No
D000375,C000888,POS,Apple,macOS,Yes,Yes,Yes
D000376,C000686,Desktop,Dell,Windows,Yes,Yes,Yes
D000377,C000988,Mobile,Apple,macOS,Yes,Yes,No
D000378,C000809,Desktop,Samsung,Android,No,No,No
D000379,C000408,POS,Dell,Windows,No,Yes,No
D000380,C000699,POS,Apple,macOS,No,Yes,No
D000381,C000252,POS,Samsung,Android,No,Yes,Yes
D000382,C000057,POS,Dell,Windows,Yes,No,No
D000383,C000398,Mobile,Apple,iOS,Yes,No,Yes
D000384,C000203,Desktop,Apple,iOS,Yes,No,Yes
D000385,C000869,Mobile,Dell,Windows,Yes,Yes,Yes
D000386,C000555,Desktop,Dell,Windows,Yes,Yes,Yes
D000387,C000309,Mobile,Samsung,Android,No,Yes,Yes
D000388,C000879,Mobile,Dell,Windows,Yes,Yes,Yes
D000389,C000934,Mobile,Dell,Windows,No,No,No
D000390,C000716,Desktop,Apple,macOS,No,Yes,Yes
D000391,C000239,Desktop,Dell,Windows,Yes,Yes,Yes
D000392,C000018,Mobile,Dell,Windows,No,No,No
D000393,C000788,Mobile,Dell,Windows,No,No,Yes
D000394,C000484,Mobile,Dell,Windows,No,No,Yes
D000395,C000560,Mobile,Apple,iOS,No,No,No
D000396,C000138,Mobile,Samsung,Android,No,No,Yes
D000397,C000371,Desktop,Dell,Windows,Yes,No,Yes
D000398,C000165,Mobile,Apple,macOS,No,Yes,Yes
D000399,C000806,Desktop,Dell,Windows,No,No,No
D000400,C000792,Desktop,Apple,macOS,No,Yes,Yes
D000401,C000067,Desktop,Dell,Windows,Yes,Yes,No
D000402,C000063,POS,Apple,iOS,No,Yes,No
D000403,C000825,Desktop,Apple,macOS,No,Yes,No
D000404,C000222,Mobile,Samsung,Android,No,No,No
D000405,C000543,Mobile,Apple,iOS,Yes,No,No
D000406,C000861,Desktop,Samsung,Android,No,No,Yes
D000407,C000052,Mobile,Apple,macOS,Yes,No,No
D000408,C000702,POS,Apple,macOS,No,Yes,No
D000409,C000569,POS,Apple,iOS,No,Yes,No
D000410,C000439,Desktop,Apple,macOS,Yes,Yes,No
D000411,C000700,Mobile,Apple,macOS,Yes,No,Yes
D000412,C000966,Desktop,Apple,iOS,Yes,No,No
D000413,C000709,Mobile,Apple,macOS,No,Yes,Yes
D000414,C000740,POS,Apple,macOS,No,Yes,No
D000415,C000817,Desktop,Samsung,Android,No,Yes,Yes
D000416,C000711,Desktop,Samsung,Android,No,Yes,No
D000417,C000356,Mobile,Samsung,Android,Yes,No,Yes
D000418,C000761,Mobile,Apple,macOS,No,No,No
D000419,C000796,Mobile,Dell,Windows,No,Yes,No
D000420,C000462,Mobile,Apple,macOS,No,No,No
D000421,C000353,Desktop,Dell,Windows,Yes,No,Yes
D000422,C000248,POS,Samsung,Android,No,Yes,Yes
D000423,C000216,Desktop,Apple,macOS,Yes,No,Yes
D000424,C000062,POS,Apple,iOS,Yes,Yes,Yes
D000425,C000106,Mobile,Apple,macOS,Yes,No,No
D000426,C000437,POS,Apple,macOS,Yes,No,Yes
D000427,C000169,Mobile,Apple,macOS,No,Yes,No
D000428,C000296,Desktop,Samsung,Android,No,Yes,Yes
D000429,C000180,Mobile,Dell,Windows,No,Yes,Yes
D000430,C000192,Mobile,Apple,iOS,Yes,No,Yes
D000431,C000912,Desktop,Samsung,Android,Yes,No,No
D000432,C000849,Mobile,Apple,macOS,Yes,No,Yes
D000433,C000462,Desktop,Samsung,Android,Yes,Yes,Yes
D000434,C000947,Mobile,Apple,macOS,No,Yes,No
D000435,C000964,Mobile,Samsung,Android,No,Yes,Yes
D000436,C000424,Desktop,Apple,iOS,Yes,No,No
D000437,C000592,Mobile,Apple,macOS,Yes,No,Yes
D000438,C000802,Desktop,Dell,Windows,No,Yes,Yes
D000439,C000981,POS,Apple,iOS,Yes,No,No
D000440,C000063,Mobile,Dell,Windows,No,No,Yes
D000441,C000756,POS,Apple,iOS,Yes,Yes,No
D000442,C000777,Desktop,Apple,iOS,Yes,Yes,Yes
D000443,C000842,Desktop,Samsung,Android,Yes,No,Yes
D000444,C000999,POS,Dell,Windows,No,Yes,Yes
D000445,C000736,Desktop,Apple,macOS,No,No,No
D000446,C000465,Mobile,Apple,iOS,No,No,Yes
D000447,C000272,POS,Apple,macOS,No,Yes,No
D000448,C000518,POS,Samsung,Android,No,No,Yes
D000449,C000767,Desktop,Apple,macOS,No,No,Yes
D000450,C000046,POS,Apple,iOS,Yes,Yes,Yes
D000451,C000170,Mobile,Samsung,Android,Yes,No,No
D000452,C000635,Mobile,Apple,iOS,No,No,Yes
D000453,C000178,Mobile,Apple,iOS,No,Yes,Yes
D000454,C000178,Mobile,Apple,iOS,Yes,Yes,No
D000455,C000042,Mobile,Samsung,Android,No,No,No
D000456,C000117,POS,Samsung,Android,Yes,No,No
D000457,C000816,POS,Dell,Windows,Yes,Yes,No
D000458,C000712,Mobile,Dell,Windows,Yes,Yes,Yes
D000459,C000302,Mobile,Apple,iOS,No,Yes,No
D000460,C000008,POS,Apple,iOS,Yes,No,Yes
D000461,C000130,Desktop,Samsung,Android,No,Yes,Yes
D000462,C000455,Desktop,Samsung,Android,No,No,Yes
D000463,C000121,Mobile,Samsung,Android,Yes,No,No
D000464,C000078,Desktop,Apple,iOS,No,No,No
D000465,C000164,Mobile,Dell,Windows,Yes,No,Yes
D000466,C000657,Mobile,Dell,Windows,Yes,No,No
D000467,C000601,Mobile,Samsung,Android,Yes,No,No
D000468,C000720,Mobile,Samsung,Android,Yes,No,No
D000469,C000740,Desktop,Apple,iOS,Yes,No,No
D000470,C000327,Mobile,Apple,macOS,No,No,No
D000471,C000919,Mobile,Samsung,Android,Yes,No,Yes
